id,title,description
1,Executive producer,"Executive producers are in charge of overseeing production activities and collaborating with content producers in their company. They are responsible for selecting content and coordinating with production and engineering teams to make sure all production activities are completed correctly and on time. They interact with other project staff and effectively communicate production issues with them to resolve these problems in a timely manner. They also research and analyze market data to suggest changes to the production processes, as well as take part in the budget creation, cost allocation, and hiring activities.
Other tasks performed by executive producers include approving content, selecting production talent, monitoring production needs, and measuring post-production feedback. They strive to develop strong business relationships with other producers and vendors, as well as actively participate in business meetings to measure production performance. Executive producers must be able to adapt to new production technologies and follow strict privacy regulations. They should have an advanced knowledge of trends and their competition, and executive producers need to be excellent negotiators and have knowledge of contract processes. 
A bachelor's degree in media, journalism, or a related field is generally required for this position. Previous experience in production is needed as well. Executive producers must be organized individuals that can prioritize tasks and multitask on a variety of projects at the same time. They should be able to work in a fast-paced environment under strict deadlines, work well in a team setting with other producers, and perform effectively by themselves with minimal supervision 
"
2,Social Media Director,"Companies and organizations use social media directors to help build brand loyalty, form a customer service strategy, and assist with building a larger market share and brand awareness. The social media director normally interacts with marketing, customer service, sales, and branding managers to help form a consistent and effective strategy that uses social media to help these departments execute their respective goals. Using social media platforms such as Facebook, Twitter, Instagram, and Pinterest, the social media director is expected to consistently represent the company and its brands or services in direct communications with existing and potential customers.
The strategies employed by the director can include assessing the effectiveness of marketing initiatives to help design future campaigns. The director may us social media to publicize upcoming and ongoing special events and opportunities for customers and promote the brand message to new consumers, seeking them out based on metrics identified by the director. Additionally, the social media director may play an active “first responder” role for customer service by monitoring customer inquiries, observations, and complaints on social media and review websites. The director assesses and responds to issues and helps customer service personnel address frequent or ongoing issues that exist.
Because a social media director holds a management-level position, many companies normally consider only persons for this position with a bachelor's degree or higher in marketing, communications, or a related field. Companies also look for extensive practical experience in social media communications, as well as an understanding of fundamentals of customer service. Social media directors typically work regular business hours during the week in an office setting, although they may need to monitor their social media outreach during off-hours
"
3,Director of Public Relations (PR),"Directors of public relations (PR) are generally responsible for overseeing their organization's external - and, often, internal - communications. They create marketing strategies, help build relationships with external partners, and develop ways to promote a positive public image of their organization. Directors of public relations often manage a team that includes other PR professionals. They develop an overall departmental strategy and oversee its implementation, developing changes and additions as needed. Directors of public relations must work directly with media representatives, responding to media members' queries and ""pitching"" positive stories as applicable. They must coordinate with high-level personnel within their organization on statements, press conferences, responses to media, and other public communications. Directors of public relations also oversee a social media strategy.
Directors of public relations work indoors in an office setting during regular business hours. However, overtime and alternative hours are often required to deal with emerging situations, events, and other necessary tasks. Travel is often frequently required for events and meetings. This is generally a full-time position that requires excellent managerial, communication, and interpersonal skills.
A bachelor's degree in public relations, communications, journalism, or a related field is typically the minimum educational requirement for this organization. Most large companies require substantial prior experience in public relations as well. Directors of public relations must be able to communicate with many different types of audiences, create lasting strategic partnerships, oversee a variety of tasks simultaneously, and use basic computer software
"
4,public relations (PR) director,"The public relations (PR) director is responsible for maintaining the public image of their organization, which includes protecting their organization's reputation. This director works with the media on a variety of news items, attempting to present a positive image of their organization at all times.They are responsible for writing and/or editing news releases, creating and distributing media kits, organizing public events, developing branding initiatives, and planning company fundraisers. Public relations directors work in many different industries and institutions, including hospitals, universities, corporations, construction firms, and law firms.
The day-to-day responsibilities of the public relations director vary, but they typically involve working with various employees such as executives, specialists, customer service representatives, and sales representatives; they also interact frequently with outside media institutions. Additionally, the public relations director may oversee a staff, providing guidance, delegating tasks, and initiating disciplinary action when necessary. The position is generally full time and takes place in an office environment, although travel may be required for events such as fundraisers.
A bachelor's degree in communications, marketing, or a related field is generally required for this position, as is eight to 10 years of public relations experience. Managerial and media experience is also required. Additionally, a public relations director must possess strong oral and written communication skills, excellent interpersonal skills, and a creative mindset. They may be required to sit or stand or long periods of time, and they must be familiar with basic computer software.
"
5,Marketing communications director,"Marketing communications directors are responsible for directing marketing and communication activities for their organizations, as well as leading a department to reach all goals in a timely manner.
These directors work in an office environment and use a personal computer to review marketing reports and communication materials and create strategies to compete at a high level with other organizations. They are typically responsible for approving marketing programs and modifying requirements for communications, and strong interpersonal skills and the ability to multitask on projects are important in this position. These directors are also responsible for providing concepts to marketing specialists to generate graphics, content, and videos to be posted in print or social media, and they may have a team of professionals to respond to current and potential clients. They also share marketing information with other company departments, such as sales and accounting. 
Marketing communication directors must help research new purchase patterns and target marketing campaigns to specific population sectors, as well as redact communication files to express company objectives in a clear manner. They must provide leadership and technical skills to resolve issues as they arise, and also assist with training efforts and report their progress to the marketing vice president in their organization. They often use analytics in their decision making processes and should work well in a fast-paced environment to achieve all marketing and communication goals.
A bachelor's degree in marketing, communications, or a related field is generally required for this position, and prior experience in a relevant capacity is highly beneficial. Industry certifications are also helpful.
"
6,"Director, Marketing and Communications","Popular skills for director,marketing and communications are social media marketing、strategic marketing、media/public relations and branding."
7,Director of Communications,"Communications directors are responsible for the communicating a positive image of a company to the public. They often advise executives on public relations and how to effectively communicate the company’s message. Communications directors can work in any field, including nonprofit organizations and government agencies.
Communications directors are the spokespeople for the company. They manage media relations and often are the primary point of contact for journalists. They create press releases and organize press conferences. If there is media attention on their company, communications directors train employees on how to properly and effectively respond and speak to journalists to maintain the positive image of the company. Communications directors must be adept with on-the-spot responses. Many times when an emergency or crisis related to their business occurs, the communications director is the first contact for the media. They must know how to plan in advance for these types of communications. They are also expected to monitor what is being said about their business and be prepared to respond to any negative publicity.
Communications directors may also implement community outreach efforts. This includes working with local communities and governments to increase satisfaction with their company. They may also implement volunteer efforts for their organization within the community to give back and present a positive image of their company.
A bachelor’s degree in communications or a related field is typically expected of a communications director. Since they may oversee a team of marketing employees, they should also exhibit leadership qualities, and they must also have a good background in marketing.
"
8,Corporate Communications Manager,"Corporate communications managers are in charge of managing their company's communications efforts. They are responsible for reviewing and approving company statements, as well as participating in drafting corporate communications. These managers also manage public relations initiatives and develop partnerships with other agencies to further both organizations' objectives. Their main duties include handling media inquiries, overseeing organizational social media efforts, and ensuring the company is up to date with current marketing trends. They also develop content for campaigns, create press releases, and help simplify complex technical topics for consumer audiences.
Corporate communications managers work in a team environment with other communications professionals; however, they must also work well on their own with minimal supervision. Corporate communications managers also cultivate direct relationships with media outlets and journalists, and they must provide prompt response to media and client inquiries. These managers also participate in corporate meetings to discuss communications strategies and develop talking points for executives and technical managers.
A bachelor's degree in communications, public relations, or a related field is necessary for this job. Previous experience in a similar communications role may be preferred, as may previous managerial experience. Corporate communications managers should possess excellent interpersonal skills for interacting with other staff members, as well as external customers and partners
"
9,Communications Director,"Communications directors work in a variety of fields, including private corporations, government agencies, non-profit organizations and more. They oversee the information and communication that comes from their companies and how the companies' messages are delivered to the public. Communications directors are also responsible for managing their companies' media and public relations. They are their companies' spokespeople and work to develop and implement plans for communicating their companies' main goals. They may hold press conferences, write up press releases, respond to journalists and reporters from TV and print media, and more.
Communications directors typically oversee the communications department of an organization. This requires them to train their staff and monitor employees’ effectiveness, particularly when engaging with the media. They want to ensure that their organization's image is a positive one, and that involves ensuring that anyone speaking to a journalist or another member of the media is fully trained in what to say and how to say it. Since much of a company’s image also falls to the relations with the local government and public, communications directors may also attend community meetings on behalf of the company. In addition, they may begin and implement volunteer programs or participate in local community outreach.
Communication directors must have experience in dealing with emergencies and crises. Negative press may come out about a company, or there may be an emergency related to the business, and they need to be on top of it. They must plan for these types of emergencies and respond appropriately and effectively whenever they may occur. Communications directors generally have degrees in communications, marketing or another related field. Since they will typically oversee a large department, many years of experience and leadership qualities are also important
"
10,Content Marketing Manager,"Content marketing managers are responsible for overseeing a company's content strategies and implementing comprehensive content-delivery plans, including print, video, audio, and other forms of content. They may work on websites, blogs posts, social media, and other outlets, and work closely with marketing and sales teams to define effective content and content delivery. Their ultimate goal is to find effective mechanisms to drive customer demands for their products and brands, and they must ensure that projects are completed within given deadlines.
Content marketing managers oversee content contributors, writers, consultants, and other staff and must conduct performance evaluation reviews and provide timely feedback to staff. They must stay up-to-date with the newest trends and technologies in their industry by reading relevant professional journals and attending workshops, and strong writing, editing, and communication skills are required for this position. Analytical skills and the ability to maintain strong working relationships with external and internal clients are also important.
Proficiency in Microsoft Office programs is highly beneficial for this position, and they must also be able to use software and computer applications related to content marketing. A bachelor's degree in marketing, communications, journalism, or a related field is generally required for this position, and prior experience in editorial and content strategies of multi-channel content programs may also be required, as well as the ability to travel domestically or internationally.
"
